household_id,person_number,puma_area_code,age_years,sex,race_code,education_code,marital_status,wages_income,total_personal_income,income_to_poverty_ratio,employment_status_code
2023HU0802959,1,106,26,2,1,21,5,60000,62000,392,1
2023HU1126412,1,101,83,2,6,22,1,0,74000,501,6
2023HU0349049,2,103,31,2,1,21,5,30000,32000,208,1
2023GQ0032106,1,101,19,2,6,19,5,8000,8000,,1
2023HU0233309,3,101,11,1,9,8,5,,,501,
2023HU0207999,1,104,62,1,2,21,3,45000,45100,286,1
2023HU1373748,3,102,1,2,9,,5,,,501,
2023HU0052215,1,103,66,1,2,22,3,158000,158000,501,1
2023HU0382729,2,101,28,2,6,21,5,93000,93000,501,1
2023HU0815236,5,102,42,1,2,15,5,0,0,280,3
2023HU0785099,1,105,35,2,6,21,2,80000,80000,501,1
2023HU1171714,1,101,40,1,1,23,1,150000,156000,501,1
2023HU0517077,1,102,48,2,8,16,5,42000,42000,265,1
2023HU0402798,2,101,50,1,1,21,1,870000,870000,501,1
2023HU1097379,1,106,35,1,8,22,1,10000,10000,58,1
2023HU1055170,3,103,12,1,1,9,5,,,501,
2023HU1102473,1,105,34,1,1,22,1,225000,225000,501,1
2023HU0434035,1,106,40,2,1,22,5,116000,116000,501,1
2023HU1279022,1,102,70,2,2,18,1,0,16800,294,6
2023HU0891147,1,104,60,1,2,16,3,0,90000,501,1
2023HU0365386,3,101,2,1,1,,5,,,501,
2023HU0121427,1,106,24,2,1,22,5,6000,6000,38,6
2023HU1333056,3,103,11,2,1,8,5,,,501,
2023HU0956775,1,106,30,1,9,22,1,73000,76630,501,1
2023HU1356925,4,103,0,2,1,,5,,,501,
2023HU0411859,1,103,35,2,1,23,5,79000,139000,501,1
2023HU0819855,2,101,43,2,9,22,1,100000,100000,501,1
2023HU0044977,2,103,37,1,9,22,5,135000,135000,501,1
2023HU0198884,1,102,34,2,1,21,5,65000,66120,501,1
2023HU0144021,3,102,33,2,2,16,1,25000,25000,429,1
2023HU1104053,1,102,41,1,9,19,5,71000,71500,463,1
2023HU0788928,2,104,59,1,2,21,1,125000,126400,501,1
2023HU1426847,1,105,36,1,1,22,5,220000,220000,501,1
2023HU1300858,5,102,62,1,2,22,1,70000,70000,447,1
2023HU0805660,3,102,15,2,8,11,5,0,0,501,
2023HU0476870,1,106,30,2,1,24,1,144000,144200,501,1
2023HU1252837,1,104,60,1,2,10,5,0,8000,51,3
2023HU0699641,1,106,67,2,2,21,3,0,0,0,6
2023HU1308214,2,103,44,2,1,21,1,160000,160000,501,1
2023HU0456289,2,104,58,2,2,18,1,148000,148000,501,1
2023HU0277671,1,103,33,2,1,23,1,88000,88000,501,1
2023HU1233862,3,103,47,1,1,3,5,0,17330,501,6
2023HU0924509,4,101,2,2,1,,5,,,501,
2023HU0460133,2,103,44,2,2,14,1,29100,29250,294,1
2023HU0989237,3,102,17,1,8,1,5,0,0,294,6
2023HU0349159,3,104,11,2,2,8,5,,,501,
2023HU0649735,1,105,40,2,1,22,5,90000,100000,501,1
2023HU1337503,1,104,29,2,2,17,5,300,9900,32,2
2023HU0445280,2,102,24,2,9,21,5,80000,80000,501,1
2023HU0393231,1,106,33,1,1,21,3,205000,207300,501,1
2023HU1079167,2,102,47,2,8,1,1,96000,96000,501,1
2023HU0402576,3,101,0,2,1,,5,,,501,
2023GQ0092910,1,103,20,2,1,16,5,2500,2500,,1
2023HU1233862,1,103,77,1,1,22,1,0,166900,501,1
2023HU0877564,4,103,11,2,1,9,5,,,501,
2023HU1195596,1,101,77,1,1,23,1,0,120500,501,1
2023HU1349060,5,106,1,1,1,,5,,,501,
2023HU0819855,1,101,45,1,1,22,1,70000,71000,501,1
2023GQ0082063,1,101,74,1,2,16,5,0,3000,,6
2023HU0206110,1,105,61,1,1,22,1,870000,875000,501,1
2023HU1294568,1,101,81,1,1,22,1,0,95700,501,6
2023HU1031614,3,103,2,2,1,,5,,,501,
2023HU0043097,1,103,45,1,2,22,5,157000,157000,501,1
2023HU0391390,1,104,78,2,2,16,2,0,19200,133,6
2023HU0051206,4,102,12,1,2,9,5,,,501,
2023HU1305590,2,106,77,2,1,22,1,0,20000,501,6
2023HU0273244,2,101,47,1,1,22,5,90000,90000,501,1
2023HU0639457,1,104,37,1,2,19,3,0,0,0,3
2023HU1157056,1,106,41,1,1,23,1,225000,225050,501,1
2023HU0628777,1,101,26,1,3,19,5,51000,51000,328,1
2023HU1198779,1,105,32,1,1,21,5,210000,210000,501,1
2023HU0007933,2,102,35,2,1,21,5,115000,115000,501,1
2023GQ0153067,1,103,75,1,2,16,5,0,22800,,6
2023HU0765972,2,101,59,2,1,21,1,7000,7000,501,1
2023HU1416312,3,103,0,2,1,,5,,,501,
2023HU1193271,2,106,24,2,9,21,5,80000,80000,501,1
2023HU1376167,1,101,34,2,1,22,1,70000,70000,501,1
2023HU0208950,1,101,40,1,1,22,1,325000,330000,501,1
2023HU0048881,3,105,0,2,1,,5,,,501,
2023HU0220861,5,102,14,1,2,11,5,,,501,
2023HU1409963,1,104,36,1,1,19,5,215000,215000,501,2
2023HU0173463,1,106,44,2,1,21,5,97000,97000,501,1
2023HU0173495,1,106,29,2,1,24,5,200000,200000,501,1
2023HU0563989,1,101,46,2,9,21,5,95000,95000,501,1
2023HU0700373,1,106,65,1,2,17,3,0,6000,41,6
2023HU0460587,1,102,35,2,1,22,1,93000,95500,501,1
2023HU0268726,3,103,8,2,2,5,5,,,501,
2023HU1402663,1,106,46,1,1,21,1,170000,170000,501,1
2023HU0077520,1,101,76,2,1,22,5,0,42000,290,6
2023HU0171455,3,103,3,1,9,1,5,,,501,
2023HU0435083,3,102,17,2,8,14,5,0,0,411,6
2023HU1041610,2,101,71,1,1,24,1,102000,172500,501,1
2023HU1230928,1,101,44,1,1,23,1,154000,155300,501,1
2023HU1176958,1,102,32,2,1,19,1,0,0,501,6
